ID,Label,AssetCode,Type,Brand,Model,Serial,Location,Cost,WarrantyEnd,Status,Loanable,LoanedTo,Remark,Comment,OpenFaults,Repairs
cmp66oaak00mt2jo2ofz6qcfm,2018VT20,NIL,Portable Mic,S CHIAYO,ITX3,4SJ-1770247,Teacher 9,60,,Operational,Yes,,,,0,0
cmp66oaak00mv2jo25mxbix09,2018VT21,NIL,Portable Mic,S CHIAYO,ITX3,4SJ-1770049,Teacher 10,60,,Operational,Yes,,,,0,0
cmp66oaak00mx2jo2ou8u20pj,2018VT22,NIL,Portable Mic,S CHIAYO,ITX3,4SJ-1770255,Teacher 11,60,,Operational,Yes,,,,0,0
cmp66oaak00mz2jo2e264nnkw,2018VT23,NIL,Portable Mic,S CHIAYO,ITX3,4SJ-1770072,Teacher 12,60,,Operational,Yes,,,,0,0
cmp66oaaj00lu2jo2d2kqih2b,2018VT24,NIL,MIC,S CHIAYO,HC-43,4SJ-1750210,Teacher 13,0,,Others,Yes,,,Spoiled,1,0
cmp66oaaj00lv2jo2sl10xgp2,2018VT24,NIL,MIC,S CHIAYO,ITX3,4SJ-1770070,Teacher 14,0,,Others,Yes,,,Spoiled,1,0
cmp66oaak00n12jo2bqu3p7x6,2018VT25,NIL,Portable Mic,S CHIAYO,ITX3,4SJ-1770222,Teacher 15,60,,Operational,Yes,,,,0,0
cmp66oaak00n32jo2jkbve6aq,2018VT26,NIL,Portable Mic,S CHIAYO,ITX3,4SJ-1770224,Teacher 16,60,,Operational,Yes,,,,0,0
cmp66oaak00n52jo2srdvvblq,2018VT27,NIL,Portable Mic,S CHIAYO,ITX3,4SJ-1770079,Teacher 1,60,,Operational,Yes,,,,0,0
cmp66oaak00n72jo2mbif7bub,2018VT28,NIL,Portable Mic,S CHIAYO,ITX3,4SJ-1770047,Teacher 2,60,,Operational,Yes,,,,0,0
cmp66oaak00n92jo25lmaj9lv,2018VT29,NIL,Portable Mic,S CHIAYO,ITX3,4SJ-1770258,Teacher 3,60,,Operational,Yes,,,,0,0
cmp66oaaj00lm2jo2pwvzbz38,2018VT30,NIL,MIC,S CHIAYO,HC-43,4SJ-1750184,Teacher 4,0,,Others,Yes,,,Spoiled,1,0
cmp66oaaj00ln2jo26ijsi9b4,2018VT30,NIL,MIC,S CHIAYO,ITX3,4SJ-1770074,Teacher 5,0,,Others,Yes,,,Spoiled,1,0
cmp66oaak00nb2jo2fmkbqklh,2018VT31,NIL,Portable Mic,S CHIAYO,ITX3,4SJ-1770043,Teacher 6,60,,Operational,Yes,,,,0,0
cmp66oaaj00lp2jo2xkxp7w6x,2018VT32,NIL,MIC,S CHIAYO,ITX2,4SJ-1770071,Teacher 7,0,,Others,Yes,,,Spoiled,0,0
cmp66oaaj00lo2jo23q5sk9no,2018VT32,NIL,MIC,S CHIAYO,HC-43,4SJ-1750191,Teacher 8,0,,Others,Yes,,,Spoiled,0,0
cmp66oaaj00lr2jo26p168ty8,2018VT33,NIL,MIC,S CHIAYO,ITX3,4SJ-1770080,Teacher 9,0,,Others,Yes,,,Spoiled,0,0
cmp66oaaj00lq2jo25dch4lan,2018VT33,NIL,MIC,S CHIAYO,HC-43,4SJ-1750201,Teacher 10,0,,Others,Yes,,,Spoiled,0,0
cmp66oaak00nd2jo2re79jw70,2018VT34,NIL,Portable Mic,S CHIAYO,ITX3,4SJ-1770082,Teacher 11,60,,Operational,Yes,,,,0,0
cmp66oaak00nf2jo2ocf1jgzl,2018VT35,NIL,Portable Mic,S CHIAYO,ITX3,4SJ-1770078,Teacher 12,60,,Operational,Yes,,,,0,0
cmp66oaak00nh2jo28ngykl9n,2018VT36,NIL,Portable Mic,S CHIAYO,ITX3,4SJ-1770077,Teacher 13,60,,Operational,Yes,,,,0,0
cmp66oaak00nj2jo2nytij0xi,2018VT37,NIL,Portable Mic,S CHIAYO,ITX3,4SJ-1770076,Teacher 14,60,,Operational,Yes,,,,0,0
cmp66oaak00nl2jo21y8dmrtx,2018VT38,NIL,Portable Mic,S CHIAYO,ITX3,4SJ-1770048,Teacher 15,60,,Operational,Yes,,,,0,0
cmp66oaaj00ls2jo2c8h92m06,2019VT01,NIL,MIC,S CHIAYO,HC-42,4SJ-1810283,Teacher 16,0,,Others,Yes,,,Spoiled,0,0
cmp66oaaj00lt2jo24v0whzjr,2019VT01,NIL,MIC,S CHIAYO,ITX2,4SJ-1870120,Custody,0,,Others,Yes,,,Spoiled,0,0
cmp66oaak00nn2jo2qwr0g419,2019VT02,NIL,Portable Mic,S CHIAYO,ITX2,4SJ-1870104,tecahere1,60,,Operational,Yes,,,,0,0
cmp66oaak00no2jo2wxiwmoxl,ALP-VEP-01,NIL,Portable Mic,Vertical Enhancer,Pro+,SGVEP+001289,Custody,,,Operational,Yes,,,,0,0
cmp66oaak00np2jo26itviwgg,ALP-VEP-02,NIL,Portable Mic,Vertical Enhancer,Pro+,SGVEP+001290,Custody,,,Operational,Yes,,,,0,0
cmp66oaak00nq2jo2na5qu0mm,ALP-VEP-03,NIL,Portable Mic,Vertical Enhancer,Pro+,SGVEP+001291,Custody,,,Operational,Yes,,,,0,0
cmp66oaak00nr2jo2qs4p7dtj,ALP-VEP-04,NIL,Portable Mic,Vertical Enhancer,Pro+,SGVEP+001292,Custody,,,Operational,Yes,,,,0,0
cmp66oaak00ns2jo27sfbry06,ALP-VEP-05,NIL,Portable Mic,Vertical Enhancer,Pro+,SGVEP+001293,Custody,,,Operational,Yes,,,,0,0
cmp66oaak00nt2jo24m1h02jg,ALP-VEP-06,NIL,Portable Mic,Vertical Enhancer,Pro+,SGVEP+001294,Custody,,,Operational,Yes,,,,0,0
cmp66oaak00nu2jo2o2gkicdk,ALP-VEP-07,NIL,Portable Mic,Vertical Enhancer,Pro+,SGVEP+001295,Custody,,,Operational,Yes,,,,0,0
cmp66oaak00nv2jo2b1sw6iqm,ALP-VEP-08,NIL,Portable Mic,Vertical Enhancer,Pro+,SGVEP+001296,Custody,,,Operational,Yes,,,,0,0
cmp66oaak00nw2jo2lezswiro,ALP-VEP-09,NIL,Portable Mic,Vertical Enhancer,Pro+,SGVEP+001318,Custody,,,Operational,Yes,,,,0,0
cmp66oaak00nx2jo2c1squf5h,ALP-VEP-10,NIL,Portable Mic,Vertical Enhancer,Pro+,SGVEP+001319,Custody,,,Operational,Yes,,,,0,0
cmp66oaak00ny2jo29s85rjpm,ALP-VEP-11,NIL,Portable Mic,Vertical Enhancer,Pro+,SGVEP+001320,Custody,,,Operational,Yes,,,,0,0
cmp66oaak00nz2jo2iwhv3fbq,ALP-VEP-12,NIL,Portable Mic,Vertical Enhancer,Pro+,SGVEP+000976,Custody,,,Operational,Yes,,,,0,0
cmp66oaak00o02jo2i7wtgm8y,ALP-VEP-13,NIL,Portable Mic,Vertical Enhancer,Pro+,SGVEP+000973,Custody,,,Operational,Yes,,,,0,0
cmp66oaak00o12jo2d3yoth8l,ALP-VEP-14,NIL,Portable Mic,Vertical Enhancer,Pro+,SGVEP+000974,Custody,,,Operational,Yes,,,,0,0
cmp66oaak00o22jo2lva5lvfs,ALP-VEP-15,NIL,Portable Mic,Vertical Enhancer,Pro+,SGVEP+000975,Custody,,,Operational,Yes,,,,0,0
cmp66oaak00o32jo20fm70qlf,ALP-VEP-16,NIL,Portable Mic,Vertical Enhancer,Pro+,SGVEP+001399,Custody,,,Operational,Yes,,,,0,0
cmp66oaak00o42jo2aua03n8z,ALP-VEP-17,NIL,Portable Mic,Vertical Enhancer,Pro+,SGVEP+001400,Custody,,,Operational,Yes,,,,0,0
cmp66oaak00o52jo2gxgw53zr,ALP-VEP-18,NIL,Portable Mic,Vertical Enhancer,Pro+,SGVEP+001401,Custody,,,Operational,Yes,,,,0,0
cmp66oaak00o62jo2r04nqp8u,ALP-VEP-19,NIL,Portable Mic,Vertical Enhancer,Pro+,SGVEP+001402,Custody,,,Operational,Yes,,,,0,0
cmp66oaak00o72jo2af4x4rva,ALP-VEP-20,NIL,Portable Mic,Vertical Enhancer,Pro+,SGVEP+001403,Custody,,,Operational,Yes,,,,0,0
cmp66oaak00o82jo2e282exjd,ALP-VEP-21,NIL,Portable Mic,Vertical Enhancer,Pro+,SGVEP+001423,Custody,,,Operational,Yes,,,,0,0
cmp66oaak00o92jo2fnu7mpos,ALP-VEP-22,NIL,Portable Mic,Vertical Enhancer,Pro+,SGVEP+001424,Custody,,,Operational,Yes,,,,0,0
cmp66oaak00oa2jo29mi7djr0,ALP-VEP-23,NIL,Portable Mic,Vertical Enhancer,Pro+,SGVEP+001425,Custody,,,Operational,Yes,,,,0,0
cmp66oaak00ob2jo29cwzx8hf,ALP-VEP-24,NIL,Portable Mic,Vertical Enhancer,Pro+,SGVEP+001426,Custody,,,Operational,Yes,,,,0,0
cmp66oaak00oc2jo2o9znwxm6,ALP-VEP-25,NIL,Portable Mic,Vertical Enhancer,Pro+,SGVEP+001427,Custody,,,Operational,Yes,,,,0,0
cmp66oaae00a42jo20i5nhr9u,AP2-1,,Apple Pencil,APPLE,A1603,ABCD,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaae00ad2jo2ke0icrd5,AP2-10,,Apple Pencil,APPLE,A1603,EFGI,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaaf00ae2jo2e9u8ysai,AP2-11,,Apple Pencil,APPLE,A1603,XHJG,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaaf00af2jo2at0kvms2,AP2-12,,Apple Pencil,APPLE,A1603,SIYH,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaaf00ag2jo2dcfi9108,AP2-13,,Apple Pencil,APPLE,A1603,JS45,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaaf00ah2jo23dkmx1tw,AP2-14,,Apple Pencil,APPLE,A1603,ABCD,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaaf00ai2jo2p0d2vgw1,AP2-15,,Apple Pencil,APPLE,A1603,OLAH,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaaf00aj2jo24bxwvxy0,AP2-16,,Apple Pencil,APPLE,A1603,IDGH,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaaf00ak2jo2opdwc4bh,AP2-17,,Apple Pencil,APPLE,A1603,BHAS,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaaf00al2jo2xt8zvhak,AP2-18,,Apple Pencil,APPLE,A1603,DJAL,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaaf00am2jo2tp4mo2xt,AP2-19,,Apple Pencil,APPLE,A1603,PAPP,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaae00a52jo23cmx5cqh,AP2-2,,Apple Pencil,APPLE,A1603,HFFG,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaaf00an2jo2utx70vzl,AP2-20,,Apple Pencil,APPLE,A1603,EFGI,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaaf00ao2jo2woifulrq,AP2-21,,Apple Pencil,APPLE,A1603,XHJG,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaaf00ap2jo2bshradv5,AP2-22,,Apple Pencil,APPLE,A1603,SIYH,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaaf00aq2jo24q7ertih,AP2-23,,Apple Pencil,APPLE,A1603,JS45,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaaf00ar2jo23z57cz81,AP2-24,,Apple Pencil,APPLE,A1603,ABCD,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaaf00as2jo2ij83rpzb,AP2-25,,Apple Pencil,APPLE,A1603,OLAH,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaaf00at2jo2a77160np,AP2-26,,Apple Pencil,APPLE,A1603,IDGH,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaaf00au2jo2mo24978x,AP2-27,,Apple Pencil,APPLE,A1603,BHAS,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaaf00av2jo2o9blsno1,AP2-28,,Apple Pencil,APPLE,A1603,DJAL,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaaf00aw2jo2965bbkbe,AP2-29,,Apple Pencil,APPLE,A1603,ABCD,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaae00a62jo27f6b95z6,AP2-3,,Apple Pencil,APPLE,A1603,ABCD,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaaf00ax2jo295d37526,AP2-30,,Apple Pencil,APPLE,A1603,EFGI,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaaf00ay2jo22ixwt4p4,AP2-31,,Apple Pencil,APPLE,A1603,XHJG,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaaf00az2jo2m64kjzyw,AP2-32,,Apple Pencil,APPLE,A1603,SIYH,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaaf00b02jo2xpcpxz2n,AP2-33,,Apple Pencil,APPLE,A1603,JS45,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaaf00b12jo2dssgttm2,AP2-34,,Apple Pencil,APPLE,A1603,ABCD,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaaf00b22jo2aq8hd508,AP2-35,,Apple Pencil,APPLE,A1603,OLAH,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaaf00b32jo20cdosgvl,AP2-36,,Apple Pencil,APPLE,A1603,IDGH,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaaf00b42jo2e693dzs6,AP2-37,,Apple Pencil,APPLE,A1603,BHAS,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaaf00b52jo20w2wpcto,AP2-38,,Apple Pencil,APPLE,A1603,DJAL,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaaf00b62jo2om2i1qkm,AP2-39,,Apple Pencil,APPLE,A1603,DBAS,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaae00a72jo2qi2828zz,AP2-4,,Apple Pencil,APPLE,A1603,OLAJ,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaaf00b72jo2otxjq622,AP2-40,,Apple Pencil,APPLE,A1603,XYXY,Pencil Cart E2-01,120,,Operational,Yes,TEACHER K,,,0,0
cmp66oaae00a82jo2tv6qtxvb,AP2-5,,Apple Pencil,APPLE,A1603,BHAS,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaae00a92jo2l1h5fvey,AP2-6,,Apple Pencil,APPLE,A1603,DJAL,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaae00aa2jo2smacdf2b,AP2-7,,Apple Pencil,APPLE,A1603,XHJG,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaae00ab2jo2daoin636,AP2-8,,Apple Pencil,APPLE,A1603,SIYH,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaae00ac2jo2mzt0m5or,AP2-9,,Apple Pencil,APPLE,A1603,OLAH,Pencil Cart E2-01,120,,Operational,Yes,,,,0,0
cmp66oaal00ps2jo2gtcnch24,Apple TV 1,,TV Box,APPLE,A1469,SC07NQV5LFF54,Teacher 1,228,,Operational,Yes,,,,0,0
cmp66oaal00pt2jo2hdddh88c,Apple TV 2,,TV Box,APPLE,A1469,SC07NQTL7FF54,Teacher 2,228,,Others,Yes,,,Spoiled,1,0
cmp66oaal00pu2jo21ry4zt08,Apple TV 3,,TV Box,APPLE,A1469,SC07NQVSQFF54,Teacher 3,228,,Operational,Yes,,,,0,0
cmp66oaal00pv2jo2rw0monfg,Apple TV 4,,TV Box,APPLE,A1469,SC07NQU2CFF54,Teacher 4,228,,Operational,Yes,,,,0,0
cmp66oaal00pw2jo2k0ndr72o,Apple TV 5,,TV Box,APPLE,A1469,SC07NQVLWFF54,Teacher 5,228,,Operational,Yes,,,,0,0
cmp66oaal00px2jo2u0ikn9ho,Apple TV 6,,TV Box,APPLE,A1469,SC07NQV82FF54,Teacher 6,228,,Operational,Yes,,,,0,0
cmp66oaal00py2jo2kgtg8voq,Apple TV 7,,TV Box,APPLE,A1469,SC07NQVTBFF54,Teacher 7,228,,Operational,Yes,,,,0,0
cmp66oaal00pz2jo20c50glrm,Apple TV 8,,TV Box,APPLE,A1469,SC07NQVEDFF54,Teacher 8,228,,Operational,Yes,,,,0,0
cmp66oaae007z2jo2nxxpmpnf,Cart 1-1,0054-000360,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,Cart E3-04,449,20/6/2025,Operational,Yes,,,,0,0
cmp66oaae00882jo2edtz67pw,Cart 1-10,0054-000369,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,Cart E3-04,449,20/6/2025,Operational,Yes,,,,0,0
cmp66oaae00892jo2unjjiit9,Cart 1-11,0054-000370,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,Cart E3-04,449,20/6/2025,Operational,Yes,,,,0,0
cmp66oaae008a2jo2c34lji4g,Cart 1-12,0054-000371,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,Cart E3-04,449,20/6/2025,Operational,Yes,,,,0,0
cmp66oaae008b2jo2ryirrwd3,Cart 1-13,0054-000372,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,Cart E3-04,449,20/6/2025,Operational,Yes,,,,0,0
cmp66oaae008c2jo2lce8xyhj,Cart 1-14,0054-000373,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,Cart E3-04,449,20/6/2025,Operational,Yes,,,,0,0
cmp66oaae008d2jo2skquljz2,Cart 1-15,0054-000374,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,Cart E3-04,449,20/6/2025,Operational,Yes,,,,0,0
cmp66oaae008e2jo2ohp2617s,Cart 1-16,0054-000375,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,Cart E3-04,449,20/6/2025,Operational,Yes,,,,0,0
cmp66oaae008f2jo2cyu128fj,Cart 1-17,0054-000376,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,Cart E3-04,449,20/6/2025,Operational,Yes,,,,0,0
cmp66oaae008g2jo2ddi7kw80,Cart 1-18,0054-000377,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,Cart E3-04,449,20/6/2025,Operational,Yes,,,,0,0
cmp66oaae008h2jo2519cvjj8,Cart 1-19,0054-000378,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,Cart E3-04,449,20/5/2025,Operational,Yes,,,,0,0
cmp66oaae00802jo2u2s49piw,Cart 1-2,0054-000361,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,Cart E3-04,449,20/6/2025,Operational,Yes,,,,0,0
cmp66oaae008i2jo2e3ujipjg,Cart 1-20,0054-000379,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,Cart E3-04,449,20/6/2025,Operational,Yes,,,,0,0
cmp66oaae008j2jo2pdhdy8l6,Cart 1-21,0054-000380,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,Cart E3-04,449,20/6/2025,Operational,Yes,,,,0,0
cmp66oaae008k2jo22ud7bs18,Cart 1-22,0054-000381,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,Cart E3-04,449,20/6/2025,Operational,Yes,,,,0,0
cmp66oaae008l2jo272zrnta2,Cart 1-23,0054-000382,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,Cart E3-04,449,20/6/2025,Operational,Yes,,,,0,0
cmp66oaae008m2jo2h0zchgdf,Cart 1-24,0054-000383,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,Cart E3-04,449,20/6/2025,Operational,Yes,,,,0,0
cmp66oaae008n2jo2362bk1q0,Cart 1-25,0054-000384,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,Cart E3-04,449,20/6/2025,Operational,Yes,,,,0,0
cmp66oaae008o2jo2ix2b1nha,Cart 1-26,0054-000385,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,Cart E3-04,449,20/6/2025,Operational,Yes,,,,0,0
cmp66oaae008p2jo20pxre5ab,Cart 1-27,0054-000386,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,Cart E3-04,449,20/6/2025,Operational,Yes,,,,0,0
cmp66oaae008q2jo2kb8cfeh8,Cart 1-28,0054-000387,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,Cart E3-04,449,20/6/2025,Operational,Yes,,,,0,0
cmp66oaae008r2jo2xnvz5v3c,Cart 1-29,0054-000388,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,Teacher 1,449,20/6/2025,Operational,Yes,,,,0,0
cmp66oaae00812jo2jq8b7wgy,Cart 1-3,0054-000362,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,Cart E3-04,449,20/6/2025,Operational,Yes,,,,0,0
cmp66oaae008s2jo2aqn4w88s,Cart 1-30,0054-000389,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,Cart E3-04,449,20/6/2025,Operational,Yes,,,,0,0
cmp66oaae008t2jo2pv64i1bs,Cart 1-31,0054-000390,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,Teacher 3,449,20/6/2025,Operational,Yes,,,,0,0
cmp66oaae008u2jo2eit15una,Cart 1-32,0054-000391,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,teacher 6,449,20/6/2025,Operational,Yes,,,,0,0
cmp66oaae008v2jo20ckgraxk,Cart 1-33,0054-000392,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,teacher 8,449,20/6/2025,Operational,Yes,,,,0,0
cmp66oaae008w2jo2mc2wnot8,Cart 1-34,0054-000393,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,Cart E3-04,449,20/6/2025,Operational,Yes,,,,0,0
cmp66oaae008x2jo2icoybjta,Cart 1-35,0054-000394,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,teacher HOD,449,20/6/2025,Operational,Yes,,,,0,0
cmp66oaae008y2jo2qssvma4k,Cart 1-36,0054-000395,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,Tecaher no,449,20/6/2025,Operational,Yes,,,,0,0
cmp66oaae00822jo2jud0bjza,Cart 1-4,0054-000363,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,Cart E3-04,449,20/6/2025,Operational,Yes,,,,0,0
cmp66oaae00832jo29d1qlxql,Cart 1-5,0054-000364,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,Cart E3-04,449,20/6/2025,Operational,Yes,,,,0,0
cmp66oaae00842jo2b24w7as3,Cart 1-6,0054-000365,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,Cart E3-04,449,20/6/2025,Operational,Yes,,,,0,0
cmp66oaae00852jo209sacesk,Cart 1-7,0054-000366,Owned iPAD,APPLE,MK2K3ZP/A,H2F33G,Cart E3-04,449,20/6/2025,Operational,Yes,,,,0,0
